dda_agent_name,game_id,survival_time_steps,total_kills,avg_health_percent,health_std,min_health,time_in_flow_zone_percent,time_in_danger_zone_percent,time_in_safety_zone_percent,near_death_count,near_death_time_percent,action_do_nothing_count,action_slightly_easier_count,action_much_easier_count,action_slightly_harder_count,action_much_harder_count,action_oscillations
RL_backup_best_dda_model,35,4500,26,93.33333333333333,24.94438257849294,0.0,0.0,6.666666666666667,93.33333333333333,1,6.666666666666667,0,0,0,0,0,0
RL_backup_best_dda_model,36,4500,25,86.66666666666667,28.674417556808756,0.0,13.333333333333334,6.666666666666667,80.0,1,6.666666666666667,0,0,0,0,0,0
RL_backup_best_dda_model,37,5100,30,92.3529411764706,24.13915826903905,0.0,5.88235294117647,5.88235294117647,88.23529411764706,1,5.88235294117647,0,0,0,0,0,0
RL_backup_best_dda_model,38,4800,26,80.9375,24.82556331183645,-5.0,6.25,6.25,87.5,1,6.25,0,0,0,0,1,0
RL_backup_best_dda_model,39,4800,26,86.875,29.308435219233388,0.0,12.5,6.25,81.25,1,6.25,0,1,0,0,0,0
RL_backup_best_dda_model,40,4800,26,89.375,26.33171804117612,0.0,6.25,6.25,87.5,1,6.25,0,0,0,0,0,0
RL_backup_best_dda_model,41,4800,27,93.75,24.206145913796355,0.0,0.0,6.25,93.75,1,6.25,0,0,0,0,0,0
RL_backup_best_dda_model,42,6000,36,80.0,35.63705936241092,-5.0,10.0,15.0,75.0,1,15.0,0,0,0,0,0,0
RL_backup_best_dda_model,43,5100,27,90.0,27.86522184076944,0.0,5.88235294117647,5.88235294117647,88.23529411764706,1,5.88235294117647,0,0,0,0,0,0
RL_backup_best_dda_model,44,4500,25,92.66666666666667,27.438820836342238,-10.0,0.0,6.666666666666667,93.33333333333333,1,6.666666666666667,0,0,0,0,0,0
RL_backup_best_dda_model,45,4500,25,91.66666666666667,26.31011634756149,-5.0,0.0,6.666666666666667,93.33333333333333,1,6.666666666666667,0,0,0,0,0,0
RL_backup_best_dda_model,46,8100,51,82.96296296296296,23.501743798944386,-15.0,7.4074074074074066,3.7037037037037033,88.88888888888889,1,3.7037037037037033,0,0,0,0,0,0
RL_backup_best_dda_model,47,4500,25,93.33333333333333,24.94438257849294,0.0,0.0,6.666666666666667,93.33333333333333,1,6.666666666666667,0,0,0,0,0,0
RL_backup_best_dda_model,48,3900,22,87.6923076923077,29.911110915728585,0.0,7.6923076923076925,7.6923076923076925,84.61538461538461,1,7.6923076923076925,0,1,0,0,0,0
RL_backup_best_dda_model,49,8400,53,78.57142857142857,29.99574799799438,-15.0,3.571428571428571,10.714285714285714,85.71428571428571,1,10.714285714285714,0,1,0,0,0,0
RL_backup_best_dda_model,50,6600,39,87.27272727272727,23.19518331304195,0.0,13.636363636363635,4.545454545454546,81.81818181818183,1,4.545454545454546,0,0,0,0,0,0
RL_backup_best_dda_model,51,6000,38,73.5,39.02242944769072,0.0,5.0,25.0,70.0,2,25.0,0,0,0,0,0,0
RL_backup_best_dda_model,52,5400,30,91.11111111111111,27.005943561636965,-15.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
RL_backup_best_dda_model,53,5700,31,91.57894736842105,25.39439596171541,0.0,5.263157894736842,5.263157894736842,89.47368421052632,1,5.263157894736842,0,1,0,0,0,0
RL_backup_best_dda_model,54,5100,27,89.41176470588235,29.44997517931524,-5.0,0.0,11.76470588235294,88.23529411764706,1,5.88235294117647,0,0,0,0,0,0
RL_backup_best_dda_model,55,4500,24,74.66666666666667,31.38293945583952,0.0,33.33333333333333,13.333333333333334,53.333333333333336,1,6.666666666666667,0,0,0,0,0,0
RL_backup_best_dda_model,56,4500,25,80.33333333333333,26.737406173540634,0.0,33.33333333333333,6.666666666666667,60.0,1,6.666666666666667,0,0,0,0,0,0
RL_backup_best_dda_model,57,3900,20,86.15384615384616,32.708140962260465,0.0,0.0,15.384615384615385,84.61538461538461,1,7.6923076923076925,0,0,1,0,0,0
RL_backup_best_dda_model,58,6300,39,92.85714285714286,21.301208806042897,0.0,0.0,4.761904761904762,95.23809523809523,1,4.761904761904762,0,0,0,0,0,0
RL_backup_best_dda_model,59,27600,145,52.44565217391305,35.19738260106813,0.0,29.347826086956523,34.78260869565217,35.869565217391305,2,34.78260869565217,0,0,0,0,0,0
RL_backup_best_dda_model,60,4800,28,79.375,27.14975828621684,-5.0,18.75,6.25,75.0,1,6.25,0,0,0,0,0,0
RL_backup_best_dda_model,61,4500,25,81.66666666666667,26.119384032212977,0.0,20.0,6.666666666666667,73.33333333333333,1,6.666666666666667,0,0,0,0,0,0
RL_backup_best_dda_model,62,10800,65,67.77777777777777,33.049719372746324,-5.0,38.88888888888889,16.666666666666664,44.44444444444444,2,16.666666666666664,0,0,0,0,0,0
RL_backup_best_dda_model,63,6000,35,93.0,22.15851980616034,0.0,0.0,5.0,95.0,1,5.0,0,0,0,0,0,0
RL_backup_best_dda_model,64,4200,24,87.85714285714286,30.279311991752348,0.0,7.142857142857142,7.142857142857142,85.71428571428571,1,7.142857142857142,0,0,0,0,0,0
RL_backup_best_dda_model,65,5400,31,86.11111111111111,28.11462428639999,-10.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
RL_backup_best_dda_model,66,5400,29,88.61111111111111,25.04471310119139,0.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
RL_backup_best_dda_model,67,9900,57,69.24242424242425,28.099423377056134,-5.0,60.60606060606061,6.0606060606060606,33.33333333333333,1,6.0606060606060606,0,0,0,0,0,0
RL_backup_best_dda_model,68,6000,38,94.0,22.0,0.0,0.0,5.0,95.0,1,5.0,0,0,0,0,0,0
